Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
ca,how much does a basement remodel cost,basement renovation,,,,,70,31,2.22,0.17,193,Informational,"Short Videos, Discussions And Forums, AI Overview, Site Links, Reviews, Video, People Also Ask, Related Searches","0.52,0.41,0.41,1.00,0.52,0.29,0.29,0.29,0.41,0.41,0.41,0.29",20,,
ca,new basement construction cost,basement renovation,,,,,70,11,0.00,0.00,134,Informational,"Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.00,0.81,1.00,0.45,0.81,0.81,0.81,0.81,0.63,1.00,0.81,0.45",20,,
ca,average cost to renovate a basement,basement renovation,,,,,50,10,2.22,0.19,135,Informational,"Site Links, Video Carousel, People Also Ask, Related Searches, Adwords Middle, AI Overview, Reviews, Video, Discussions And Forums","0.18,0.36,0.45,1.00,0.63,0.45,0.36,0.36,0.36,0.45,0.36,0.45",20,,
ca,basement plan,basement renovation,,,,,50,27,1.76,0.21,132,Informational,"Video Carousel, Discussions And Forums, Site Links, Reviews, Video, Image, People Also Ask, Related Searches, Image Pack","0.06,0.12,0.21,0.15,0.28,0.12,0.09,0.21,0.09,0.15,0.12,0.06",20,,
ca,cost to build a basement,basement renovation,,,,,50,9,2.33,0.33,135,Informational,"People Also Ask, Related Searches, Short Videos, AI Overview, Video, Discussions And Forums, Site Links, Reviews, Video Carousel","0.14,0.35,0.35,0.50,0.28,0.14,0.14,0.50,0.14,0.78,0.78,0.78",20,,
ca,how much does it cost to develop a basement,basement renovation,,,,,50,5,2.24,0.33,137,Informational,"Site Links, Reviews, Video, People Also Ask, Related Searches, Discussions And Forums","0.14,0.50,0.50,0.50,0.50,0.35,0.35,0.35,0.28,0.35,0.28,0.21",20,,
ca,how much to finish a basement canada,basement renovation,,,,,50,9,2.12,0.33,127,Informational,"Site Links, Reviews, Video, People Also Ask, Related Searches, Discussions And Forums","0.00,0.02,0.02,0.01,0.02,0.02,0.02,0.03,0.02,0.02,0.01,0.01",20,,
ca,basement building plans,basement renovation,,,,,90,23,0.35,0.66,189,Informational,"Related Searches, Reviews, Video, Video Carousel, AI Overview, Image Pack, Site Links, Image, People Also Ask","0.64,0.50,0.50,0.35,0.50,0.64,0.64,0.78,0.64,0.78,0.78,0.50",20,,
ca,basement house blueprints,basement renovation,,,,,90,15,0.35,0.66,136,Informational,"Reviews, Video, Video Carousel, Related Searches, Image Pack, Site Links","0.52,0.64,0.52,0.52,0.52,0.64,0.64,1.00,0.00,0.64,0.64,0.52",20,,
ca,basement office renovation,basement renovation,,,,,90,22,0.00,0.05,127,Informational,"People Also Ask, Related Searches, Local Pack, Image Pack, Video, Video Carousel","0.00,0.41,0.52,0.64,0.52,0.52,0.64,1.00,1.00,1.00,0.82,0.64",90,,
ca,basement pics,basement renovation,,,,,90,23,0.00,0.01,141,Informational,"Image Pack, Video, Image, People Also Ask, Related Searches","0.64,0.50,0.50,0.78,0.64,0.64,0.64,0.64,0.50,0.64,0.64,0.50",75,,
ca,basement renovation cost ottawa,basement renovation,,,,,90,5,2.41,0.38,120,Informational,"Site Links, Reviews, Video, People Also Ask, Related Searches, AI Overview","0.04,0.19,0.23,0.23,0.23,0.23,0.33,0.80,0.80,1.00,0.80,0.52",20,,
ca,basement renovation new tecumseth,basement renovation,,,,,90,11,0.00,0.00,132,Informational,"Local Pack, Video, People Also Ask, Related Searches, Discussions And Forums","0.36,1.00,0.81,1.00,1.00,0.81,1.00,0.63",90,,
ca,basement renovation ottawa cost,basement renovation,,,,,90,1,0.00,0.00,124,Informational,"Reviews, Video, People Also Ask, Related Searches, AI Overview, Site Links","0.00,0.19,0.19,0.23,0.23,0.52,0.33,0.66,0.80,1.00,0.80,1.00",20,,
ca,finished basement ideas small,basement renovation,,,,,90,37,0.00,0.05,196,Informational,"Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack","0.06,0.21,0.21,1.00,0.28,0.21,0.12,0.21,0.15,0.21,0.15,0.12",90,,
ca,kitchen for basement,basement renovation,,,,,90,18,0.97,0.98,188,Informational,"Site Links, People Also Ask, Popular Products, Image Pack, Reviews, Video, Image, Video Carousel, Related Searches, Short Videos","0.11,0.64,0.52,0.64,0.41,0.52,0.64,0.64,0.52,0.82,1.00,0.64",20,,
ca,modern basement,basement renovation,,,,,90,20,4.82,0.09,182,Informational,"Reviews, Video, Image, Video Carousel, Popular Products, Related Searches, Image Pack","0.28,0.34,0.28,0.28,0.34,0.34,0.28,0.34,0.28,0.21,0.28,0.21",75,,
ca,office space in the basement,basement renovation,,,,,90,19,0.00,0.33,137,Informational,"AI Overview, Image Pack, Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches","0.11,0.29,0.41,0.29,0.64,1.00,0.52,0.82,0.64,0.82,0.82,0.52",20,,
ca,ottawa basement renovation companies,basement renovation,,,,,90,14,0.00,0.00,110,Informational,"Site Links, Reviews, Video, Related Searches, Discussions And Forums, AI Overview, Local Pack","0.00,1.00,0.64,0.78,0.78,0.21,0.64",20,,
ca,room basement,basement renovation,,,,,90,31,0.00,0.01,198,Informational,"Image Pack, Reviews, Video, People Also Ask, Related Searches","0.34,0.34,0.26,0.34,0.34,0.26,0.26,0.34,0.26,0.42,0.34,0.34",75,,
ca,basement apartment kitchen,basement renovation,,,,,70,18,0.00,0.37,211,"Informational, Commercial","Image Pack, Reviews, Video Carousel, People Also Ask, Popular Products, Video, Image, Related Searches, Discussions And Forums","0.09,0.33,0.42,0.42,0.23,0.23,0.42,0.23,0.23,0.33,0.80,0.52",90,,
ca,basement office space,basement renovation,,,,,70,13,0.00,0.33,134,Informational,"Image Pack, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches","0.09,0.33,0.42,0.42,0.23,0.80,0.42,0.42,0.42,0.52,0.52,0.52",20,,
ca,basement renovations elmvale,basement renovation,,,,,70,8,4.56,0.42,19100,Informational,"Local Pack, Site Links, Reviews, Video","0.63,1.00,1.00,0.63,0.63,0.45,0.63,0.63,0.18,0.36,0.36,0.36",20,,
ca,home office in basement,basement renovation,,,,,70,25,0.00,0.87,188,Informational,"Site Links, Video Carousel, People Also Ask, Related Searches, Reviews, Video, Image, Discussions And Forums, Image Pack","0.00,0.64,0.50,0.28,0.50,0.78,1.00,0.64,0.50,0.64,0.50,0.64",20,,
ca,interior home remodeling,basement renovation,,,,,70,13,2.85,0.24,139,Informational,"Local Pack, Image Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches","0.11,0.23,0.41,1.00,0.52,0.41,0.29,0.41,0.23,0.41,0.52,0.52",90,,
ca,kitchen basement,basement renovation,,,,,70,13,1.57,0.52,190,"Informational, Commercial","Site Links, Video, Image, Video Carousel, People Also Ask, Popular Products, Related Searches","0.05,0.06,0.06,0.06,0.11,0.18,0.18,0.18,0.15,0.05,0.03,0.03",20,,
ca,kitchen in basement,basement renovation,,,,,70,22,1.57,0.52,138,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Short Videos, AI Overview, Image Pack, Video, Discussions And Forums, Site Links","0.14,0.42,0.42,0.52,0.33,0.42,0.52,0.33,0.33,1.00,1.00,0.66",20,,
ca,oakville basement for rent,basement renovation,,,,,70,17,0.12,0.28,106,"Informational, Commercial","Reviews, Related Searches","0.21,0.15,0.15,0.15,0.15,0.28,0.15,0.53,0.09,0.15,0.15,0.15",90,,
ca,office basement,basement renovation,,,,,70,20,0.00,0.27,197,Informational,"Image Pack, Image, Video Carousel, People Also Ask, AI Overview, Site Links, Reviews, Video, Related Searches","0.00,0.35,0.50,0.64,0.50,0.50,0.64,0.64,0.64,1.00,0.64,0.64",20,,
ca,plan basement,basement renovation,,,,,70,14,1.04,0.22,130,Informational,"Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links","0.00,0.63,0.63,0.63,0.81,0.63,0.45,1.00,0.45,0.63,0.63,0.18",20,,
ca,small basement office,basement renovation,,,,,70,20,0.00,0.33,195,Informational,"Site Links, Video, Image, Video Carousel, People Also Ask, Discussions And Forums, Image Pack, Reviews, Related Searches","0.14,0.50,0.64,0.64,0.50,0.50,0.64,0.64,0.64,0.78,0.64,0.78",20,,
ca,small kitchenette in basement,basement renovation,,,,,70,32,0.00,0.66,225,"Informational, Commercial","Short Videos, Discussions And Forums, Reviews, Video, Image, People Also Ask, Related Searches, Image Pack, Site Links, Video Carousel, Popular Products","0.03,0.26,0.26,0.34,0.26,0.26,0.19,1.00,0.19,0.26,0.26,0.26",20,,
ca,strathmore basement renovations,basement renovation,,,,,70,11,0.00,0.33,119,Informational,"Site Links, Reviews, Video, People Also Ask, AI Overview, Local Pack","0.00,0.63,0.63,0.81,0.81,0.81,1.00,1.00,0.81,1.00,0.81,0.81",20,,
ca,basement apartment design tips,basement renovation,,,,,50,21,0.56,0.33,131,Informational,"Site Links, Reviews, Video, Video Carousel, Related Searches, AI Overview","0.11,0.29,0.29,0.82,0.29,0.23,0.17,0.41,0.29,0.11,0.11,0.11",20,,
ca,basement layouts,basement renovation,,,,,50,23,0.63,0.08,134,Informational,"Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Site Links","0.36,0.45,0.45,0.45,0.36,0.45,0.27,0.45,0.27,0.36,0.45,0.36",20,,
ca,home renovation whitby,basement renovation,,,,,50,10,4.43,0.59,124,Informational,"Local Pack, Reviews, Video, People Also Ask, AI Overview","0.01,0.02,0.03,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.04",90,,
ca,house plans with basements,basement renovation,,,,,50,16,0.35,0.66,137,Informational,"Image Pack, Site Links, Video, Image, Related Searches","0.22,0.77,0.00,0.77,0.77,0.77,1.00,1.00,0.55,0.55,0.77,0.55",20,,
ca,how much would it cost to build a basement,basement renovation,,,,,50,19,1.61,0.11,131,Informational,"Video, People Also Ask, Related Searches, AI Overview, Site Links, Reviews","0.64,0.35,0.35,1.00,0.28,0.35,0.28,0.14,0.14,0.14,0.14,0.14",20,,
ca,36 rosemeade ave home renovation,basement renovation,,,,,90,14,0.00,0.00,2000,Informational,"Video Carousel, Related Searches, Short Videos, Reviews, Video","0.00,0.00,0.00,0.00,0.00,1.00,0.02,0.02,0.02,0.02,0.00,0.00",90,,
ca,baseboard repair,basement renovation,,,,,90,30,1.63,0.91,166,Informational,"Site Links, Reviews, Video, People Also Ask, Related Searches, Short Videos, Discussions And Forums, Image Pack","0.64,0.50,0.64,0.78,0.64,0.50,0.50,0.64,0.64,0.64,0.64,0.64",20,,
ca,basement decorating,basement renovation,,,,,90,36,0.26,0.85,186,Informational,"Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Reviews, Video","0.42,0.66,0.66,0.66,0.23,0.52,0.80,0.52,0.33,0.33,0.00,0.00",75,,
ca,basement floor ideas,basement renovation,,,,,90,15,0.48,0.98,188,Informational,"Site Links, Reviews, Video, Image, Video Carousel, Popular Products, Short Videos, People Also Ask, Related Searches, AI Overview","0.05,0.07,0.10,0.10,0.12,0.10,0.07,0.07,0.07,0.12,0.07,0.05",20,,
ca,basement pictures,basement renovation,,,,,90,32,0.00,0.01,198,Informational,"Image Pack, Reviews, Video, Image, Video Carousel, Related Searches","0.63,0.63,0.81,1.00,0.81,0.81,1.00,1.00,0.81,1.00,0.81,0.63",75,,
ca,basement remodel cost per square foot,basement renovation,,,,,90,16,2.73,0.20,133,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews","0.26,0.19,0.26,1.00,0.53,0.19,0.26,0.42,0.26,0.19,0.26,0.26",20,,
ca,how much to finish a basement ontario,basement renovation,,,,,90,4,1.25,0.25,127,Informational,"Reviews, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links","0.15,0.42,0.53,0.42,0.42,0.53,0.53,0.42,0.26,0.34,0.26,0.26",20,,
ca,replacing baseboards,basement renovation,,,,,90,30,1.01,0.85,106,Informational,"Video, People Also Ask, Related Searches, Short Videos, Discussions And Forums, AI Overview, Site Links","0.52,0.52,0.64,0.52,0.52,0.52,0.41,0.52,0.52,0.52,0.41,0.52",20,,
ca,walk out basement ideas,basement renovation,,,,,90,16,0.00,0.02,189,Informational,"Discussions And Forums, Image Pack, Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches","0.65,0.34,0.43,0.34,0.21,0.06,0.06,0.09,0.28,0.21,0.34,0.21",90,,
ca,basement apartment reno,basement renovation,,,,,70,10,0.00,0.00,129,Informational,"Knowledge Panel, Site Links, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, Reviews, AI Overview","0.63,1.00,0.81,0.63,0.63,0.81,0.63,0.81,0.45,0.63,0.63,0.81",20,,
ca,basement ideas modern,basement renovation,,,,,70,25,0.14,0.19,184,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Reviews","0.05,0.06,0.05,0.03,0.03,0.01,0.03,0.08,0.06,0.03,0.02,0.06",90,,
ca,basement suite renovations,basement renovation,,,,,70,4,2.38,0.13,163,Informational,"Knowledge Panel, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.00,0.15,0.19,0.65,0.19,0.19,0.19,0.34,0.26,0.42,0.42,0.26",70,,
ca,basement tile,basement renovation,,,,,70,16,0.65,0.92,219,"Informational, Commercial","People Also Ask, Popular Products, Related Searches, Image Pack, Site Links, Reviews, Video, Video Carousel","0.42,0.19,0.42,0.19,0.33,0.33,0.23,0.42,0.33,0.42,0.33,0.42",20,,
ca,best subfloor for basement,basement renovation,,,,,70,18,0.98,1.00,102,Informational,"Site Links, Reviews, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Short Videos","0.17,0.41,0.29,0.41,0.41,0.64,0.41,0.52,0.64,0.41,0.29,0.41",20,,
ca,finishing a basement cost,basement renovation,,,,,70,26,3.19,0.27,129,Informational,"Short Videos, Discussions And Forums, Site Links, Reviews, Video Carousel, AI Overview, Video, People Also Ask, Related Searches","0.23,0.42,0.33,0.80,0.42,0.33,0.33,0.33,0.23,0.23,0.19,0.80",20,,
ca,renovations bathrooms,basement renovation,,,,,70,18,2.95,0.54,209,Informational,"Video, Video Carousel, People Also Ask, Related Searches, Local Pack, Image Pack, Reviews","0.08,0.18,0.22,0.10,0.06,0.02,0.06,0.35,0.14,0.14,0.18,0.29",75,,
ca,small basement bathroom ideas,basement renovation,,,,,70,27,0.50,0.57,184,Informational,"Image Pack, Site Links, Video Carousel, People Also Ask, Related Searches, Reviews, Video, Image, Short Videos","0.26,0.26,0.26,0.42,0.34,0.26,0.34,0.26,0.34,0.34,0.26,0.26",20,,
ca,bedroom in basement ideas,basement renovation,,,,,50,25,0.35,0.44,193,Informational,"Image, Video Carousel, People Also Ask, Related Searches, AI Overview, Image Pack, Reviews, Video","0.29,0.41,0.41,0.52,0.29,0.29,0.00,0.41,0.29,0.17,0.11,0.23",90,,
ca,family room basement designs,basement renovation,,,,,50,31,0.20,0.40,190,Informational,"Reviews, Video, Video Carousel, Related Searches","0.11,0.29,0.41,0.64,0.52,0.41,0.41,0.41,0.11,0.11,0.11,0.11",90,,
ca,storage ideas for basement,basement renovation,,,,,50,32,0.31,1.00,190,Informational,"Image Pack, Site Links, Reviews, Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Video, AI Overview","0.00,0.00,0.00,0.09,0.09,0.03,1.00,0.09,0.03,0.03,0.03,0.03",20,,
ca,basement apartment design,basement renovation,,,,,90,18,0.56,0.07,92,Informational,"Image, People Also Ask, Related Searches, Image Pack, Reviews, Video","0.21,0.34,0.28,0.28,0.15,0.21,0.28,0.21,0.15,0.28,0.28,0.28",90,,
ca,basement concrete floor,basement renovation,,,,,90,14,1.58,0.27,186,"Informational, Commercial","Video, Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Reviews, Popular Products","0.64,0.41,0.29,0.52,0.41,0.52,0.82,1.00,0.82,0.64,0.64,0.64",20,,
ca,basement development cost,basement renovation,,,,,90,7,2.27,0.19,135,Informational,"Site Links, Reviews, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.14,0.78,0.78,1.00,1.00,0.64,0.64,0.50,0.50,0.78,0.78,0.35",20,,
ca,basement with low ceiling ideas,basement renovation,,,,,90,5,0.40,0.72,191,Informational,"Short Videos, AI Overview, Site Links, Video, Image, Video Carousel, People Also Ask, Related Searches","0.03,0.28,0.43,0.53,0.43,0.34,0.34,0.53,0.34,0.34,0.28,0.21",20,,
ca,cost of legal basement apartment,basement renovation,,,,,90,3,0.00,0.11,121,Informational,"Discussions And Forums, AI Overview, Site Links, Video, People Also Ask, Related Searches","0.07,0.26,0.26,0.42,0.42,0.65,0.65,0.53,0.53,0.42,0.65,0.42",20,,
ca,finished basement ideas for small basements,basement renovation,,,,,90,28,0.00,0.05,192,Informational,"Image Pack, Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches","0.06,0.21,0.21,1.00,0.28,0.21,0.12,0.21,0.15,0.21,0.15,0.12",90,,
ca,installing bathroom in basement,basement renovation,,,,,90,15,2.00,0.45,105,Informational,"Reviews, Video, Video Carousel, People Also Ask, AI Overview, Site Links, Related Searches, Discussions And Forums, Image Pack","0.14,0.50,0.64,0.35,0.78,0.78,1.00,1.00,0.78,0.64,0.64,0.78",20,,
ca,interior home renovations,basement renovation,,,,,90,36,2.44,0.15,52500000,Informational,"Local Pack, Image Pack, Video, Video Carousel, People Also Ask, Related Searches","0.07,0.78,0.78,0.64,0.64,0.78,0.78,1.00,0.64,0.78,0.64,0.78",90,,
ca,legal basement apartment pickering,basement renovation,,,,,90,13,0.00,0.00,108,Informational,"Site Links, Reviews, People Also Ask, Related Searches, AI Overview","0.14,0.50,0.64,0.64,0.64,1.00,0.78,1.00,1.00,1.00,0.78,0.50",20,,
ca,my home remodeling,basement renovation,,,,,90,12,4.22,0.30,116,Informational,"Related Searches, AI Overview, Reviews, Video","0.00,0.00,0.00,1.00,1.00,0.82,0.41,0.64,0.41,0.82,0.82,0.82",90,,
ca,basement living area,basement renovation,,,,,70,32,0.00,0.14,180,Informational,"People Also Ask, Popular Products, Related Searches, Image Pack, Reviews, Video, Video Carousel","0.14,0.50,0.50,0.50,0.50,0.50,0.35,0.50,0.50,0.78,0.50,0.14",90,,
ca,basement ontario,basement renovation,,,,,70,3,4.64,0.21,131,Informational,"Related Searches, Site Links, Reviews, Video, Image, Video Carousel, People Also Ask","0.18,0.18,0.18,0.18,1.00,0.18,1.00,1.00,1.00,1.00,1.00,0.18",20,,
ca,bathroom renovation cost hamilton,basement renovation,,,,,70,4,0.00,0.00,172,Informational,"People Also Ask, Related Searches, AI Overview, Site Links, Reviews, Video","0.11,0.41,0.41,0.64,0.41,0.41,0.41,0.52,0.64,1.00,0.52,0.52",20,,
ca,building a legal basement apartment,basement renovation,,,,,70,11,0.00,0.00,137,Informational,"Related Searches, Discussions And Forums, AI Overview, Video, Video Carousel, People Also Ask","0.11,0.77,0.55,1.00,1.00,0.77,0.77,0.77,0.55,0.77,1.00,0.77",90,,
ca,ceiling ideas for basement,basement renovation,,,,,70,25,0.48,1.00,192,Informational,"Image, Video Carousel, People Also Ask, Related Searches, Short Videos, Discussions And Forums, Site Links, Reviews, Video, Popular Products, AI Overview","0.00,0.00,0.02,0.06,0.54,1.00,0.02,0.02,0.02,0.06,0.00,0.04",20,,
ca,convert basement into legal rental unit,basement renovation,,,,,70,6,0.00,0.00,134,Informational,"AI Overview, Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums","0.11,0.77,0.77,1.00,0.77,0.77,1.00,1.00,0.77,1.00,0.77,0.77",20,,
ca,home gym in the basement,basement renovation,,,,,70,30,0.00,0.73,176,"Informational, Commercial","Popular Products, Discussions And Forums, Image Pack, Video Carousel, Related Searches, Site Links, Reviews, Video, People Also Ask","0.00,0.33,0.42,0.66,0.52,0.52,0.00,0.80,0.42,0.00,0.42,0.00",20,,
ca,home remodeling projects,basement renovation,,,,,70,63,3.56,0.27,180,Informational,"Local Pack, Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.18,0.18,0.18,1.00,1.00,1.00,1.00,1.00,0.18,0.18,0.18,0.18",90,,
ca,house addition ajax,basement renovation,,,,,70,8,0.00,0.00,123,Informational,"AI Overview, Reviews, Video, People Also Ask, Related Searches","0.00,0.77,0.77,0.55,1.00,1.00,1.00,1.00,0.77,1.00,1.00,1.00",90,,
ca,laundry room renovation cost,basement renovation,,,,,70,12,2.02,0.09,195,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.00,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.01,0.04,1.00,0.34",20,,
ca,legal basement apartment barrie,basement renovation,,,,,70,3,0.00,0.33,124,Informational,"Site Links, Reviews, Video, People Also Ask, Related Searches, AI Overview, Knowledge Panel","0.14,0.50,0.50,0.78,0.64,0.64,0.78,0.78,0.50,0.50,0.28,0.28",20,,
ca,legal basement apartment requirements,basement renovation,,,,,70,9,0.00,0.33,137,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Reviews, Video","0.02,0.05,0.05,0.04,0.05,0.04,0.04,0.10,0.15,0.15,0.12,0.12",90,,
ca,legal basement apartment whitby,basement renovation,,,,,70,14,0.00,0.33,121,Informational,"AI Overview, Site Links, Reviews, Video, People Also Ask, Related Searches","0.18,0.63,0.81,0.45,0.63,0.63,0.81,0.63,1.00,0.81,0.63,0.81",20,,
ca,major home renovation,basement renovation,,,,,70,37,0.00,0.10,143,Informational,"Image Pack, Site Links, Reviews, Video, Video Carousel, Related Searches, AI Overview, Knowledge Panel, People Also Ask","0.00,0.42,0.33,0.23,0.14,0.19,1.00,0.42,0.33,0.33,0.23,0.33",20,,
ca,modern basement paint colors,basement renovation,,,,,70,27,0.00,0.37,193,Informational,"Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches, AI Overview","0.34,0.34,0.34,0.34,0.34,0.06,0.06,0.06,0.06,0.34,0.06,0.06",90,,
ca,ontario basement,basement renovation,,,,,70,7,4.64,0.21,134,Informational,"AI Overview, Site Links, Reviews, Video, Image, Video Carousel, People Also Ask, Related Searches","0.07,0.07,0.07,0.07,0.65,0.07,0.42,0.42,0.42,0.42,0.42,0.07",20,,
ca,plan home remodel,basement renovation,,,,,70,31,0.00,0.24,136,Informational,"Related Searches, AI Overview, Site Links, Reviews, Video, Video Carousel, People Also Ask","0.18,0.18,0.18,1.00,1.00,1.00,1.00,1.00,0.81,0.63,0.18,0.18",20,,
ca,remodel versus renovation,basement renovation,,,,,70,41,0.00,0.05,120,Informational,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Image Pack, Reviews, Video, Video Carousel","0.18,0.00,0.00,1.00,0.18,0.14,0.00,0.00,0.10,0.00,0.00,0.10",90,,
ca,remodeling renovation,basement renovation,,,,,70,21,3.00,0.34,139,Informational,"Local Pack, Image Pack, Reviews, Video, People Also Ask, Related Searches","0.14,0.14,0.14,0.14,0.21,0.14,0.14,0.64,1.00,1.00,0.78,0.78",75,,
ca,workout room in basement,basement renovation,,,,,70,26,0.00,0.49,181,Informational,"Related Searches, Image Pack, Site Links, Reviews, Video, Video Carousel, People Also Ask, Discussions And Forums, Image","0.14,0.64,0.50,0.78,0.64,0.64,1.00,0.28,0.28,0.64,0.50,0.64",20,,
ca,basement ceiling tile ideas,basement renovation,,,,,50,29,0.36,1.00,191,Informational,"Site Links, Video, Image, Video Carousel, Popular Products, Related Searches, Image Pack, Reviews, Adwords Bottom, People Also Ask, Short Videos","0.11,0.29,0.29,0.23,0.23,0.41,0.41,0.82,0.52,0.41,0.23,0.23",20,,
ca,basement ceiling tiles ideas,basement renovation,,,,,50,21,0.36,1.00,192,Informational,"Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack, Reviews, Video, Image","0.18,0.45,0.45,0.36,0.36,0.36,0.27,1.00,0.63,0.45,0.36,0.36",90,,
ca,basement family room design,basement renovation,,,,,50,25,0.20,0.66,187,Informational,"Video, Image, Video Carousel, People Also Ask, Related Searches, Image Pack, Reviews","0.07,0.19,0.26,0.26,0.26,0.26,0.19,0.26,0.07,0.07,0.07,0.07",90,,
ca,basement suspended ceiling ideas,basement renovation,,,,,50,26,0.36,1.00,135,Informational,"Popular Products, Related Searches, Image Pack, Reviews, Video, Image, Video Carousel, People Also Ask","0.09,0.23,0.23,0.19,0.19,0.19,0.23,0.52,0.19,0.19,0.19,0.19",90,,
ca,how much does building a basement cost,basement renovation,,,,,50,9,1.61,0.11,132,Informational,"Reviews, Video, People Also Ask, Related Searches, Short Videos, Discussions And Forums, AI Overview, Site Links","0.64,0.35,0.35,1.00,0.28,0.35,0.28,0.14,0.14,0.21,0.14,0.14",20,,
ca,ideas for basement ceiling,basement renovation,,,,,50,29,0.46,1.00,185,Informational,"Image Pack, Site Links, Image, People Also Ask, Popular Products, Related Searches, Reviews, Video, Video Carousel, Short Videos, AI Overview","0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.01,0.00",20,,
ca,ideas for ceilings in basements,basement renovation,,,,,50,23,0.46,1.00,186,"Informational, Commercial","Image, Video Carousel, People Also Ask, Popular Products, Related Searches, Site Links, Reviews, Video","0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",20,,
ca,remodel vs renovation,basement renovation,,,,,50,41,1.29,0.08,123,"Informational, Commercial","AI Overview, Image Pack, Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches","0.36,0.27,0.63,1.00,0.45,0.63,0.45,0.81,0.63,0.36,0.63,0.18",20,,
ca,remodeling bathroom,basement renovation,,,,,50,48,2.10,0.99,166,"Informational, Transactional","Reviews, Video, Video Carousel, People Also Ask, Popular Products, Related Searches, Image Pack","0.00,0.03,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",75,,
ca,remodeling vs renovation,basement renovation,,,,,50,41,1.29,0.08,119,Informational,"Image Pack, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Reviews, Short Videos","0.42,0.57,0.71,0.71,0.57,0.71,0.71,1.00,0.57,0.71,0.71,0.14",90,,
ca,renovation laundry room,basement renovation,,,,,50,25,2.92,0.32,181,Informational,"Image Pack, Site Links, Reviews, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.00,0.63,0.63,0.63,1.00,0.63,0.45,0.63,0.63,0.81,0.18,0.00",20,,
ca,attic remodel,basement renovation,,,,,90,19,2.26,0.36,172,Informational,"Site Links, Video, Image, People Also Ask, Related Searches, Discussions And Forums, Reviews, Video Carousel, AI Overview","0.04,0.03,0.04,0.04,0.04,0.04,0.05,0.07,0.03,0.04,0.03,0.03",20,,
ca,baseboard heating repair,basement renovation,,,,,90,25,5.69,0.05,164,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Local Pack, Site Links, Video","0.00,0.00,0.00,0.03,0.01,0.05,1.00,0.00,0.00,0.00,0.01,0.02",20,,
ca,basement colours,basement renovation,,,,,90,27,0.27,0.16,193,Informational,"Video, Image, People Also Ask, Related Searches, Short Videos, Image Pack, Reviews","0.35,1.00,0.78,0.78,0.50,0.50,0.78,0.64,0.50,0.50,0.64,0.50",75,,
ca,basement paint colours,basement renovation,,,,,90,27,0.14,0.33,181,Informational,"Site Links, Video, Popular Products, Related Searches, Image Pack, Reviews, Image, Adwords Top, Adwords Bottom, People Also Ask","0.23,0.33,0.42,0.33,0.33,0.33,0.52,0.66,0.66,0.66,0.66,0.42",20,,
